Station_Id_C Year_Data Mon_Data Day_Data Hour_Data PRS PRS_Sea WIN_D WIN_S TEM RHU PRE_1h
59287 2016 1 11 18 1012.2000 1020.8000 359.0000 3.7000 12.9000 84.0000 0.0000 
59287 2016 1 11 18 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 11 21 1012.1000 1020.8000 1.0000 2.3000 12.6000 81.0000 0.0000 
59287 2016 1 11 21 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 12 0 1013.7000 1022.4000 355.0000 2.7000 12.4000 81.0000 0.0000 
59287 2016 1 12 0 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 12 3 1014.3000 1023.0000 356.0000 2.4000 14.9000 73.0000 0.0000 
59287 2016 1 12 3 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 12 6 1011.1000 1019.7000 347.0000 2.4000 17.3000 61.0000 0.0000 
59287 2016 1 12 6 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 12 9 1011.2000 1019.8000 13.0000 2.9000 16.8000 68.0000 0.0000 
59287 2016 1 12 9 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 12 12 1013.3000 1022.0000 2.0000 2.2000 15.0000 73.0000 0.0000 
59287 2016 1 12 12 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 12 15 1013.8000 1022.5000 25.0000 3.0000 13.4000 76.0000 0.0000 
59287 2016 1 12 15 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 12 18 1013.5000 1022.1000 11.0000 2.1000 12.3000 79.0000 0.0000 
59287 2016 1 12 18 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 12 21 1013.5000 1022.2000 13.0000 2.3000 11.4000 82.0000 0.0000 
59287 2016 1 12 21 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 13 0 1015.2000 1023.9000 14.0000 1.9000 10.5000 85.0000 0.0000 
59287 2016 1 13 0 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 13 3 1015.5000 1024.2000 6.0000 3.2000 15.4000 62.0000 0.0000 
59287 2016 1 13 3 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 13 6 1011.6000 1020.2000 42.0000 2.8000 16.9000 59.0000 0.0000 
59287 2016 1 13 6 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 13 9 1011.0000 1019.6000 22.0000 2.7000 17.2000 58.0000 0.0000 
59287 2016 1 13 9 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 13 12 1012.3000 1021.0000 302.0000 1.5000 12.5000 85.0000 0.0000 
59287 2016 1 13 12 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 13 15 1013.0000 1021.7000 22.0000 2.1000 12.3000 82.0000 0.0000 
59287 2016 1 13 15 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 13 18 1012.5000 1021.1000 359.0000 2.3000 12.0000 78.0000 0.0000 
59287 2016 1 13 21 1012.3000 1020.9000 341.0000 1.9000 11.2000 84.0000 0.0000 
59287 2016 1 14 0 1013.2000 1021.9000 12.0000 2.1000 11.0000 85.0000 0.0000 
59287 2016 1 14 3 1013.8000 1022.5000 4.0000 2.1000 13.0000 74.0000 0.0000 
59287 2016 1 14 6 1011.2000 1019.9000 351.0000 2.1000 12.7000 85.0000 0.6000 
59287 2016 1 14 9 1009.8000 1018.5000 348.0000 3.7000 12.5000 90.0000 0.1000 
59287 2016 1 14 12 1011.2000 1019.9000 329.0000 1.6000 12.5000 91.0000 0.0000 
59287 2016 1 14 15 1010.3000 1019.0000 313.0000 0.7000 12.5000 92.0000 0.0000 
59287 2016 1 14 18 1008.5000 1017.2000 10.0000 2.2000 12.4000 93.0000 0.9000 
59287 2016 1 14 21 1007.7000 1016.4000 346.0000 1.8000 11.9000 93.0000 1.0000 
59287 2016 1 15 0 1008.4000 1017.1000 11.0000 2.2000 11.9000 94.0000 2.7000 
59287 2016 1 15 3 1009.5000 1018.2000 328.0000 2.8000 12.4000 93.0000 1.6000 
59287 2016 1 15 6 1006.8000 1015.5000 14.0000 2.6000 11.8000 92.0000 0.6000 
59287 2016 1 15 9 1006.6000 1015.2000 352.0000 1.3000 12.7000 92.0000 1.1000 
59287 2016 1 15 12 1007.7000 1016.4000 351.0000 1.5000 12.2000 93.0000 0.0000 
59287 2016 1 15 15 1007.8000 1016.5000 339.0000 1.0000 11.9000 94.0000 0.0000 
59287 2016 1 15 18 1006.9000 1015.6000 9.0000 0.9000 12.2000 94.0000 0.1000 
59287 2016 1 15 21 1006.2000 1014.8000 0.0000 2.1000 12.2000 93.0000 0.0000 
59287 2016 1 16 0 1006.8000 1015.5000 20.0000 1.1000 12.4000 92.0000 0.0000 
59287 2016 1 16 3 1007.1000 1015.7000 27.0000 0.8000 13.9000 91.0000 0.0000 
59287 2016 1 16 6 1004.1000 1012.7000 124.0000 1.3000 14.7000 88.0000 0.0000 
59287 2016 1 16 9 1003.4000 1012.0000 84.0000 1.9000 14.9000 91.0000 0.0000 
59287 2016 1 16 9 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 16 12 1003.7000 1012.3000 110.0000 2.5000 15.6000 90.0000 0.0000 
59287 2016 1 16 15 1003.4000 1011.9000 306.0000 0.5000 15.7000 91.0000 2.8000 
59287 2016 1 16 18 1002.5000 1011.0000 345.0000 2.1000 14.9000 94.0000 0.0000 
59287 2016 1 16 21 1001.1000 1009.6000 2.0000 2.1000 15.0000 94.0000 1.5000 
59287 2016 1 17 0 1003.6000 1012.1000 357.0000 2.8000 15.0000 93.0000 0.1000 
59287 2016 1 17 3 1004.9000 1013.4000 14.0000 5.8000 16.2000 80.0000 0.0000 
59287 2016 1 17 6 1002.6000 1011.1000 354.0000 4.9000 19.2000 62.0000 0.0000 
59287 2016 1 17 9 1003.4000 1011.9000 340.0000 3.4000 17.9000 61.0000 0.0000 
59287 2016 1 17 12 1007.5000 1016.1000 354.0000 4.2000 13.7000 74.0000 0.0000 
59287 2016 1 17 15 1009.0000 1017.6000 359.0000 2.9000 11.7000 77.0000 0.0000 
59287 2016 1 17 18 1008.6000 1017.2000 15.0000 4.4000 11.4000 72.0000 0.0000 
59287 2016 1 17 21 1008.5000 1017.1000 354.0000 3.3000 10.3000 69.0000 0.0000 
59287 2016 1 18 0 1010.6000 1019.3000 348.0000 2.1000 8.7000 78.0000 0.0000 
59287 2016 1 18 3 1011.0000 1019.7000 56.0000 4.7000 13.3000 57.0000 0.0000 
59287 2016 1 18 6 1008.8000 1017.4000 42.0000 1.4000 16.8000 49.0000 0.0000 
59287 2016 1 18 9 1008.3000 1016.9000 43.0000 1.6000 16.5000 60.0000 0.0000 
59287 2016 1 18 12 1010.4000 1019.1000 348.0000 1.1000 14.0000 82.0000 0.0000 
59287 2016 1 18 15 1011.8000 1020.5000 9.0000 2.4000 14.2000 78.0000 0.0000 
59287 2016 1 18 18 1011.7000 1020.3000 8.0000 1.9000 13.6000 77.0000 0.0000 
59287 2016 1 18 21 1011.6000 1020.2000 15.0000 2.1000 12.1000 71.0000 0.0000 
59287 2016 1 19 0 1013.7000 1022.4000 356.0000 3.4000 11.3000 72.0000 0.0000 
59287 2016 1 19 3 1015.0000 1023.7000 350.0000 2.8000 12.2000 71.0000 0.0000 
59287 2016 1 19 6 1012.2000 1020.9000 164.0000 0.8000 13.5000 67.0000 0.0000 
59287 2016 1 19 9 1011.2000 1019.9000 342.0000 2.0000 13.5000 75.0000 0.0000 
59287 2016 1 19 12 1012.7000 1021.4000 90.0000 0.6000 13.0000 82.0000 0.0000 
59287 2016 1 19 15 1013.2000 1021.9000 0.0000 1.7000 12.7000 86.0000 0.0000 
59287 2016 1 19 18 1012.0000 1020.7000 358.0000 1.4000 13.0000 81.0000 0.0000 
59287 2016 1 19 21 1011.8000 1020.5000 18.0000 1.0000 12.5000 84.0000 0.1000 
59287 2016 1 20 0 1013.2000 1021.9000 2.0000 1.8000 12.4000 85.0000 0.0000 
59287 2016 1 20 3 1014.0000 1022.7000 0.0000 1.3000 12.5000 91.0000 1.7000 
59287 2016 1 20 6 1011.3000 1020.0000 3.0000 2.5000 12.7000 92.0000 0.3000 
